Publication,Publication date,News url,Article #,Sentence #,Sentence,Word,Pos,Chunk,NER_tag,Mapping,Target,Opinion,Aspect,Sentiment,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,1,"As a dealer in Hong Kong for Lamborghini and an array of luxury yacht manufacturers, Leo Wong is in the right place at the right time.","['As', 'a', 'dealer', 'in', 'Hong', 'Kong', 'for', 'Lamborghini', 'and', 'an', 'array', 'of', 'luxury', 'yacht', 'manufacturers', ',', 'Leo', 'Wong', 'is', 'in', 'the', 'right', 'place', 'at', 'the', 'right', 'time', '.']","['IN', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'NNP', 'CC', 'DT', 'NN', 'IN', 'NN', 'NN', 'NNS', ',', 'NNP', 'NNP', 'VBZ', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'O', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Lamborghini', -1]]",['Lamborghini'],[' Leo Wong is in the right place'],['stock'],[0.11826038],0.00746268656716418,0.0,0.0,0.00746268656716418,0.0,0.0,0.0,0.0,0.0,0.0
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,2,"Sotheby's Hong Kong  wine sales  totalled US$52.5m last year, up from US$14.3m in 2009 and accounting for 59 per cent of the wine sold by the auction house worldwide, surpassing its sales in New York and London put together.","['In', '2010', 'an', 'influx', 'of', 'wealthy', 'buyers', 'from', 'mainland', 'China', 'pushed', 'up', 'sales', 'in', 'Hong', 'Kong', ',', 'where', 'conspicuous', 'consumption', 'has', 'long', 'been', 'a', 'spectator', 'sport', ',', 'of', 'everything', 'from', 'luxury', 'cars', 'and', 'expensive', 'apartments', 'to', 'fine', 'art', 'and', 'fine', 'wine', '.']","['IN', 'CD', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NN', 'NNP', 'VBD', 'RP', 'NNS', 'IN', 'NNP', 'NNP', ',', 'WRB', 'JJ', 'NN', 'VBZ', 'RB', 'VBN', 'DT', 'NN', 'NN', ',', 'IN', 'NN', 'IN', 'NN', 'NNS', 'CC', 'JJ', 'NNS', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN', '.']","['B-PP', 'B-NP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'B-PRT', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-ADVP', 'B-NP', 'I-NP', 'B-VP', 'I-VP', 'I-VP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-PP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[""Sotheby 's"", -1]]",[nan],[nan],[nan],[nan],0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.004464285714285714
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,3,"Donna Kwok, an economist with HSBC, predicts that asset prices will continue to be ""doused in gasoline"".","['Mr', 'Wong', ""'s"", 'twin', 'dealerships', 'in', 'Hong', 'Kong', 'and', 'the', 'southern', 'Chinese', 'city', 'of', 'Guangzhou', 'last', 'year', 'sold', '65', 'Lamborghinis', 'priced', 'between', 'HK', '$', '3m', '(', 'US', '$', '385,000', ')', 'and', 'HK', '$', '12m', '.']","['NNP', 'NNP', 'POS', 'JJ', 'NNS', 'IN', 'NNP', 'NNP', 'CC', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'NNP', 'JJ', 'NN', 'VBD', 'CD', 'NNPS', 'VBN', 'IN', 'NNP', '$', 'CD', ':', 'NNP', '$', 'CD', 'SYM', 'CC', 'NNP', '$', 'CD', '.']","['B-NP', 'I-NP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'O', 'O', 'B-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['HSBC', -1]]",['Lamborghinis'],[' 65 Lamborghinis priced between HK $ 3m'],['markets'],[0.1937098],0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,4,"""There are huge amounts of money flowing into Hong Kong from China but it's not legal,"" says Chen Guanghan, a professor of economics at Zhongshan University in Guangzhou.","['This', 'year', 'will', 'be', 'even', 'better', ',', 'he', 'predicts', '.']","['DT', 'NN', 'MD', 'VB', 'RB', 'JJR', ',', 'PRP', 'VBZ', '.']","['B-NP', 'I-NP', 'B-VP', 'I-VP', 'B-ADJP', 'I-ADJP', 'O', 'B-NP', 'B-VP', 'O']","['B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Zhongshan University', -1]]",[nan],[nan],[nan],[nan],0.023529411764705882,0.0,0.005882352941176471,0.005882352941176471,0.0,0.0,0.005882352941176471,0.0,0.005882352941176471,0.017647058823529408
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,5,"Hong Kong's underground financial market is bigger today than that of Dubai's, says Thomas Chan, head of the China Business Centre at Hong Kong Polytechnic University.","['The', 'impact', 'on', 'the', 'fine', 'wine', 'market', 'in', 'the', 'city', 'has', 'been', 'even', 'more', 'dramatic', '.']","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'RB', 'RBR', 'JJ', '.']","['B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'I-VP', 'B-ADJP', 'I-ADJP', 'I-ADJP', 'O']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O']","[['the China Business Centre', -1], ['Hong Kong Polytechnic University', -1]]",[nan],[nan],[nan],[nan],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,6,"Expedia became the second large travel website to fall out with American Airlines in as many months as the online travel company, stopped selling the carrier's tickets on Saturday.","['Sotheby', ""'s"", 'Hong', 'Kong', 'wine', 'sales', 'totalled', 'US', '$', '52.5m', 'last', 'year', ',', 'up', 'from', 'US', '$', '14.3m', 'in', '2009', 'and', 'accounting', 'for', '59', 'per', 'cent', 'of', 'the', 'wine', 'sold', 'by', 'the', 'auction', 'house', 'worldwide', ',', 'surpassing', 'its', 'sales', 'in', 'New', 'York', 'and', 'London', 'put', 'together', '.']","['NNP', 'POS', 'NNP', 'NNP', 'NN', 'NNS', 'VBD', 'NNP', '$', 'CD', 'JJ', 'NN', ',', 'RB', 'IN', 'NNP', '$', 'CD', 'IN', 'CD', 'CC', 'VBG', 'IN', 'CD', 'NN', 'NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NN', 'NN', 'RB', ',', 'VBG', 'PRP$', 'NNS', 'IN', 'NNP', 'NNP', 'CC', 'NNP', 'VBD', 'RB', '.']","['B-NP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-NP', 'I-NP', 'O', 'B-ADVP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'O', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-ADVP', 'O', 'B-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'B-ADVP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Expedia', ['002MY0-E']], ['American Airlines', ['0D665Z-E']]]",['Sotheby'],"["" Sotheby 's Hong Kong wine sales totalled US $ 52.5m last year""]",['markets'],[0.10398697],0.0,0.005555555555555557,0.0,0.0,0.0,0.0,0.0,0.005555555555555557,0.0,0.0
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,7,"In December  American stopped selling tickets through Orbitz Worldwide , another travel and fare comparison website.","['Andrew', 'Lloyd', 'Webber', ',', 'the', 'British', 'composer', 'and', 'theatre', 'director', ',', 'will', 'be', 'selling', 'part', 'of', 'his', 'collection', 'of', 'Bordeaux', 'and', 'Burgundy', 'wines', ',', 'valued', 'at', 'between', 'US', '$', '2.8m', 'and', 'US', '$', '4.1m', 'through', 'the', 'auction', 'house', 'in', 'Hong', 'Kong', 'on', 'January', '22', '.']","['NNP', 'NNP', 'NNP', ',', 'DT', 'JJ', 'NN', 'CC', 'NN', 'NN', ',', 'MD', 'VB', 'VBG', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'NNP', 'CC', 'NNP', 'NNS', ',', 'VBN', 'IN', 'IN', 'NNP', '$', 'CD', 'CC', 'NNP', '$', 'CD', 'IN', 'DT', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'NNP', 'CD', '.']","['B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-VP', 'I-VP', 'I-VP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Orbitz Worldwide', -1]]",['Bordeaux'],[' will be selling part of his collection'],['stock'],[0.020445578],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,8,"In an effort to dissuade the carrier from taking further steps to undermine online travel agencies,  Expedia effectively buried American's content on its website , as contract negotiations faltered in an effort to press American into a more amicable deal and prepare its own customers should talks fail.","['The', 'flood', 'of', 'money', 'from', 'across', 'the', 'border', 'is', 'creating', 'problems', 'for', 'Hong', 'Kong', ',', 'where', 'the', 'economy', 'grew', '6.8', 'per', 'cent', 'in', 'the', 'third', 'quarter', '.']","['DT', 'NN', 'IN', 'NN', 'IN', 'IN', 'DT', 'NN', 'VBZ', 'VBG', 'NNS', 'IN', 'NNP', 'NNP', ',', 'WRB', 'DT', 'NN', 'VBD', 'CD', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']","['B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-PP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'I-VP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-ADVP', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Expedia', ['002MY0-E']], ['American', ['0GT2WV-E']]]",[nan],[nan],[nan],[nan],0.0165016501650165,0.0033003300330033004,0.0,0.0033003300330033004,0.0,0.0033003300330033004,0.006600660066006601,0.0,0.0033003300330033004,0.006600660066006601
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,9,"The disagreements set the stage for a testy 2011, when contracts between other airlines and websites expire and so called ""full-content"" agreements between the carriers and GDSs, such as Travelport and Sabre Holdings, also begin to run out.","['Donna', 'Kwok', ',', 'an', 'economist', 'with', 'HSBC', ',', 'predicts', 'that', 'asset', 'prices', 'will', 'continue', 'to', 'be', '""', 'doused', 'in', 'gasoline', '""', '.']","['NNP', 'NNP', ',', 'DT', 'NN', 'IN', 'NNP', ',', 'VBZ', 'IN', 'NN', 'NNS', 'MD', 'VB', 'TO', 'VB', '``', 'VBN', 'IN', 'NN', ""''"", '.']","['B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'O', 'B-VP', 'B-SBAR', 'B-NP', 'I-NP', 'B-VP', 'I-VP', 'I-VP', 'I-VP', 'I-VP', 'I-VP', 'B-PP', 'B-NP', 'O', 'O']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Travelport', -1], ['Sabre Holdings', -1]]",['HSBC'],[' predicts that asset prices'],['markets'],[0.14362665],0.0041666666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041666666666666675
Financial Times,1/3/2011,https://www.ft.com/content/000ba22e-1e88-11e0-87d2-00144feab49a,1,10,"In their publicity campaigns, Expedia and its peers have accused the carrier of trying to make it more difficult for consumers to compare prices on third party websites and buy the most affordable tickets.","['A', 'third', 'of', 'buyers', 'of', 'luxury', 'flats', 'in', 'the', 'city', 'in', '2010', 'were', 'wealthy', 'mainland', 'Chinese', ',', 'many', 'of', 'whom', 'left', 'their', 'flats', 'unoccupied', ',', 'contributing', 'to', 'a', 'rental', 'spiral', 'at', 'the', 'top', 'of', 'the', 'market', '.']","['DT', 'NN', 'IN', 'NNS', 'IN', 'NN', 'NNS', 'IN', 'DT', 'NN', 'IN', 'CD', 'VBD', 'JJ', 'NN', 'NNP', ',', 'DT', 'IN', 'WP', 'VBD', 'PRP$', 'NNS', 'JJ', ',', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']","['B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'B-PP', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'B-ADJP', 'O', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Expedia', ['002MY0-E']]]",[nan],[nan],[nan],[nan],0.00975609756097561,0.0,0.0,0.004878048780487805,0.0,0.004878048780487805,0.0,0.0,0.0,0.0
